1984;George Orwell;Ficção distópica;Winston Smith vive em uma sociedade controlada pelo Partido, questionando a autoridade e arriscando tudo;Inglês;328;1949;0
Orgulho e Preconceito;Jane Austen;Romance clássico;Elizabeth Bennet enfrenta questões de classe social, casamento arranjado e amor verdadeiro;Inglês;432;1813;0
A Revolução dos Bichos;George Orwell;Sátira política;Os animais de uma fazenda se rebelam contra os humanos, mas a corrupção distorce seus ideais;Inglês;112;1945;0
Dom Casmurro;Machado de Assis;Romance realista;Bento Santiago, conhecido como Dom Casmurro, relembra seu relacionamento e questiona sua fidelidade;Português;256;1899;0
Cem Anos de Solidão;Gabriel García Márquez;Realismo mágico;A história da família Buendía em Macondo, com amores proibidos, guerras e eventos misteriosos;Espanhol;432;1967;0
O Senhor dos Anéis;J.R.R. Tolkien;Fantasia épica;Frodo Baggins embarca em uma jornada para destruir um anel poderoso e impedir o retorno do Senhor das Trevas;Inglês;1216;1954;0
O Pequeno Príncipe;Antoine de Saint-Exupéry;Literatura infantil;A jornada do jovem príncipe por diferentes planetas, aprendendo lições valiosas sobre a vida e o amor;Francês;96;1943;0
Crime e Castigo;Fyodor Dostoyevsky;Romance psicológico;Raskólnikov comete um assassinato e lida com as consequências psicológicas de seu ato;Russo;545;1866;0
O Grande Gatsby;F. Scott Fitzgerald;Romance histórico;Jay Gatsby, amor e decadência na Era do Jazz;Inglês;180;1925;0
O Apanhador no Campo de Centeio;J.D. Salinger;Romance;Holden Caulfield, um adolescente rebelde questionando a autenticidade e a superficialidade da sociedade;Inglês;288;1951;0
Cem Anos de Solidão;Gabriel García Márquez;Realismo mágico;A história da família Buendía em Macondo, com amores proibidos, guerras e eventos misteriosos;Espanhol;432;1967;0
O Senhor dos Anéis;J.R.R. Tolkien;Fantasia épica;Frodo Baggins embarca em uma jornada para destruir um anel poderoso e impedir o retorno do Senhor das Trevas;Inglês;1216;1954;0
O Pequeno Príncipe;Antoine de Saint-Exupéry;Literatura infantil;A jornada do jovem príncipe por diferentes planetas, aprendendo lições valiosas sobre a vida e o amor;Francês;96;1943;0
Crime e Castigo;Fyodor Dostoyevsky;Romance psicológico;Raskólnikov comete um assassinato e lida com as consequências psicológicas de seu ato;Russo;545;1866;0
O Grande Gatsby;F. Scott Fitzgerald;Romance histórico;Jay Gatsby, amor e decadência na Era do Jazz;Inglês;180;1925;0
O Apanhador no Campo de Centeio;J.D. Salinger;Romance;Holden Caulfield, um adolescente rebelde questionando a autenticidade e a superficialidade da sociedade;Inglês;288;1951;0
Crime e Castigo;Fyodor Dostoyevsky;Romance psicológico;Raskólnikov comete um assassinato e lida com as consequências psicológicas de seu ato;Russo;545;1866;0
O Grande Gatsby;F. Scott Fitzgerald;Romance histórico;Jay Gatsby, amor e decadência na Era do Jazz;Inglês;180;1925;0
O Apanhador no Campo de Centeio;J.D. Salinger;Romance;Holden Caulfield, um adolescente rebelde questionando a autenticidade e a superficialidade da sociedade;Inglês;288;1951;0
O Apanhador no Campo de Centeio;J.D. Salinger;Romance;Holden Caulfield, um adolescente rebelde questionando a autenticidade e a superficialidade da sociedade;Inglês;288;1951;0
O Apanhador no Campo de Centeio;J.D. Salinger;Romance;Holden Caulfield, um adolescente rebelde questionando a autenticidade e a superficialidade da sociedade;Inglês;288;1951;0
